first_name;last_name;last_name_first_name;no_hit;more_than_one_hit;orcid_id;orcid_record_person_identified;orcid_records_works_listed;notes;gender;level;e_name;e_type;e_city;e_region;e_country;source;date_of_input;coder
Annette;Spellerberg;Spellerberg, Annette;FALSCH;FALSCH;0000-0002-6089-7708;WAHR;WAHR;;F;Prof;University of Kaiserslautern;.;Kaiserslautern;Rheinland-Pfalz;DE;.;.;.
Philipp;Staab;Staab, Philipp;FALSCH;FALSCH;0000-0003-3822-6753;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Christine;Steiner;Steiner, Christine;FALSCH;FALSCH;0000-0003-0435-9363;WAHR;FALSCH;;F;Prof;German Youth Institute;.;Munich;Bayern;DE;.;.;.
Annett;Steinführer;Steinführer, Annett;FALSCH;FALSCH;0000-0001-7387-9114;WAHR;WAHR;;F;.;Johann Heinrich von Thünen Institute;.;Braunschweig;.;DE;.;.;.
Susanne;Strauß;Strauß, Susanne;FALSCH;FALSCH;0000-0001-9875-2179;WAHR;WAHR;;F;Prof;Universität Konstanz;.;Konstanz;Baden-Württemberg;DE;.;.;.
Olaf;Struck;Struck, Olaf;FALSCH;FALSCH;0000-0002-7631-6365;WAHR;WAHR;;M;.;Otto-Friedrich-Universität Bamberg;.;Bamberg;.;DE;.;.;.
Ferdinand;Sutterlüty;Sutterlüty, Ferdinand;FALSCH;FALSCH;0000-0003-1750-6748;WAHR;FALSCH;;M;.;.;.;.;.;.;.;.;.
Marc;Szydlik;Szydlik, Marc;FALSCH;FALSCH;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Nils;Teichler;Teichler, Nils;FALSCH;FALSCH;0009-0005-0187-0563;WAHR;WAHR;;M;.;.;.;.;.;.;.;.;.
Christel;Teiwes-Kügler;Teiwes-Kügler, Christel;WAHR;FALSCH;;FALSCH;FALSCH;;F;.;.;.;.;.;.;.;.;.
Sylvia;Terpe;Terpe, Sylvia;FALSCH;FALSCH;0000-0002-1080-3128;WAHR;FALSCH;;F;.;.;.;.;.;.;.;.;.
Nicole;Tieben;Tieben, Nicole;FALSCH;FALSCH;0000-0001-8141-3955;WAHR;WAHR;;F;.;Leibniz University Hannover;.;Hannover;.;DE;.;.;.
Daria;Tisch;Tisch, Daria;FALSCH;FALSCH;0000-0002-2973-2008;WAHR;WAHR;;F;.;Humboldt-Universität zu Berlin;.;Berlin;Berlin;DE;.;.;.
Silke;Tophoven;Tophoven, Silke;FALSCH;FALSCH;0000-0002-5542-0665;WAHR;WAHR;;F;.;Hochschule Düsseldorf University of Applied Sciences;.;Düsseldorf;.;DE;.;.;.
Heike;Trappe;Trappe, Heike;FALSCH;FALSCH;0000-0002-6109-9732;WAHR;WAHR;;F;.;.;.;.;.;.;.;.;.
Nhat An;Trinh;Trinh, Nhat An;FALSCH;FALSCH;0000-0002-4448-0160;WAHR;WAHR;;F;.;.;.;.;.;.;.;.;.
Ingrid;Tucci;Tucci, Ingrid;FALSCH;FALSCH;0000-0002-2915-0294;WAHR;WAHR;;F;.;CNRS ;.;Aix en Provence;Sud;FR;.;.;.
Julia;Tuppat;Tuppat, Julia;FALSCH;FALSCH;0000-0002-2728-5929;WAHR;WAHR;;F;Prof;Leipzig University;.;Leipzig;Sachsen;DE;.;.;.
Rainer;Unger;Unger, Rainer;FALSCH;FALSCH;0000-0003-3246-7847;WAHR;WAHR;;M;.;Empire State College Harry Van Arsdale Junior Center for Labor Studies;.;New York;New York;US;.;.;.
Leen;Vandecasteele;Vandecasteele, Leen;FALSCH;FALSCH;0000-0003-0707-4224;WAHR;WAHR;;F;Prof;University of Lausanne;.;Lausanne;.;CH;.;.;.
Laszlo A.;Vaskovics;Vaskovics, Laszlo A.;WAHR;FALSCH;;FALSCH;FALSCH;;M;.;.;.;.;.;.;.;.;.
Roland;Verwiebe;Verwiebe, Roland;FALSCH;FALSCH;0000-0002-3202-8820;WAHR;WAHR;;M;Prof;University of Potsdam;.;Potsdam;.;DE;.;.;.
Michael;Vester;Vester, Michael;FALSCH;FALSCH;0009-0007-2574-4734;WAHR;FALSCH;;M;.;.;.;.;.;.;.;.;.
Basha;Vicari;Vicari, Basha;FALSCH;FALSCH;0000-0001-8311-7498;WAHR;WAHR;;F;Prof;City of Erlangen;.;Erlangen;.;DE;.;.;.
